n,E
86000.0,22.84089195371888
87000.0,22.82167836800147
88000.0,22.80267420033971
89000.0,22.783877168186507
90000.0,22.765285013872415
91000.0,22.74689550433652
92000.0,22.728706430856676
93000.0,22.710715608783403
94000.0,22.69292087728087
95000.0,22.67532009906364
96000.0,22.657911160142476
97000.0,22.64069196956882
98000.0,22.62366045918509
99000.0,22.606814583375126
100000.0,22.59015231881898
101000.0,22.573671664249275
102000.0,22.55737064021264
103000.0,22.54124728882988
104000.0,22.52529967356145
105000.0,22.50952587897598
106000.0,22.493924010518242
107000.0,22.478492194283206
108000.0,22.46322857679081
109000.0,22.448131324762358
110000.0,22.43319862490108
111000.0,22.41842868367388
112000.0,22.403819727097357
113000.0,22.389370000522206
114000.0,22.37507776842483
115000.0,22.360941314197532
116000.0,22.346958939942795
117000.0,22.333128966269328
118000.0,22.31944973209096
119000.0,22.305919594425234
120000.0,22.292536928197364
121000.0,22.27930012604685
122000.0,22.266207598130848
123000.0,22.25325777193575
124000.0,22.24044909208652
125000.0,22.22778002016264
126000.0,22.215249034510293
127000.0,22.20285463006087
128000.0,22.190595318150827
129000.0,22.17846962634195
130000.0,22.166476098244686
131000.0,22.154613293343346
132000.0,22.14287978682438
133000.0,22.131274169402275
134000.0,22.11979504715208
135000.0,22.1084410413431
136000.0,22.097210788271354
137000.0,22.08610293909669
138000.0,22.07511615967985
139000.0,22.06424913042457
140000.0,22.05350054611597
141000.0,22.04286911576645
142000.0,22.032353562458297
143000.0,22.02195262319293
144000.0,22.011665048736745
145000.0,22.001489603472635
146000.0,21.991425065251065
147000.0,21.981470225242617
148000.0,21.971623887794408
149000.0,21.961884870285246
150000.0,21.95225200298387
151000.0,21.942724128908026
152000.0,21.933300103686634
153000.0,21.92397879542159
154000.0,21.914759084551065
155000.0,21.905639863717056
156000.0,21.896620037630157
157000.0,21.8876985229399
158000.0,21.878874248103273
159000.0,21.87014615325654
160000.0,21.86151319008809
161000.0,21.852974321712225
162000.0,21.84452852254492
163000.0,21.836174778180066
164000.0,21.82791208526885
165000.0,21.81973945139754
166000.0,21.811655894969704
167000.0,21.803660445087814
168000.0,21.795752141436537
169000.0,21.787930034167175
170000.0,21.780193183784604
171000.0,21.772540661032735
172000.0,21.76497154678492
173000.0,21.757484931931742
174000.0,21.750079917272785
175000.0,21.74275561340852
176000.0,21.73551114063332
177000.0,21.728345628830425
178000.0,21.72125821736614
179000.0,21.714248054987422
180000.0,21.70731429971994
181000.0,21.70045611876543
182000.0,21.693672688404206
183000.0,21.68696319389329
184000.0,21.6803268293703
185000.0,21.67376279775698
186000.0,21.667270310662047
187000.0,21.660848588287934
188000.0,21.654496859335723
189000.0,21.64821436091387
190000.0,21.642000338445712
191000.0,21.635854045579094
192000.0,21.629774744096494
193000.0,21.62376170382737
194000.0,21.617814202558634
195000.0,21.611931525949103
196000.0,21.606112967444687
197000.0,21.600357828190397
198000.0,21.59466541695059
199000.0,21.58903505002212
200000.0,21.583466051154574
201000.0,21.577957751467295
202000.0,21.572509489372123
203000.0,21.56712061049018
204000.0,21.561790467575065
205000.0,21.556518420435964
206000.0,21.551303835858562
207000.0,21.546146087531724
208000.0,21.54104455596945
209000.0,21.535998628438563
210000.0,21.531007698883684
211000.0,21.526071167856173
212000.0,21.52118844244069
213000.0,21.516358936182826
214000.0,21.511582069023063
215000.0,21.50685726722213
216000.0,21.502183963294556
217000.0,21.497561595940454
218000.0,21.492989609978338
219000.0,21.488467456276567
220000.0,21.48399459168968
221000.0,21.479570478992173
222000.0,21.475194586814155
223000.0,21.47086638957677
224000.0,21.46658536743041
225000.0,21.46235100619083
226000.0,21.45816279727893
227000.0,21.454020237657915
228000.0,21.449922829774607
229000.0,21.445870081498413
230000.0,21.441861506063276
231000.0,21.437896622008225
232000.0,21.433974953120014
233000.0,21.430096028375488
234000.0,21.426259381886155
235000.0,21.42246455284112
236000.0,21.418711085452003
237000.0,21.414998528898195
238000.0,21.411326437273317
239000.0,21.407694369530418
240000.0,21.40410188943008
241000.0,21.40054856548761
242000.0,21.397033970922166
243000.0,21.393557683602182
244000.0,21.3901192859999
